symbol,segment,entry_date,entry,cause_gain,cause_bars,cons_bars,cons_dd,lf_ratio,base_num,undercut10,undercut20,undercut50,prior_narrow,relvol_entry,turn20_cr,adr20,purple_red_10d,shallow,mfe,mae,reached_10,dip_before_10,reached_20,dip_before_20,giveback_after_10,r_2,days_2,hit2_2,r_3,days_3,hit2_3,r_5,days_5,hit2_5,r_8,days_8,hit2_8,breadth,idx_above20,year,undercut_rule_ok,liquid_25cr,fast_adr,lf_expanded,early_base,relvol_confirm,clean_cq
360ONE,midcap,2021-07-30,286.5904417220925,0.39718297586868756,45,7,0.15070564479975346,2.4782919676863266,3,True,True,False,True,2.8308633085992096,8.123337634147338,4.6229339773105895,False,True,0.34858216259884567,-0.008030658100797061,True,-0.008030658100797061,True,-0.008030658100797061,True,3.333333333333333,1,True,2.2959442391361824,2,True,3.333333333333333,3,True,2.649175613510659,57,True,0.5583864,True,2021,True,False,True,True,False,True,True
360ONE,midcap,2022-09-16,401.38649979157856,0.4901450801317617,55,6,0.08383575598329218,0.8881533891560007,4,True,True,False,True,6.610459361076064,4.756041772645263,2.781809731866786,False,True,0.1239525974558846,-0.022912302829591558,True,-0.022912302829591558,False,-0.022912302829591558,True,-1.0,0,False,2.3772510828431614,4,True,0.6666666666666666,6,True,0.8082527906523277,60,False,0.54280156,False,2022,True,False,False,False,False,True,True
360ONE,midcap,2025-01-15,1117.8587563587093,0.34627172087367897,60,7,0.1737481217616369,1.2381186723465887,6,True,True,True,True,4.839185730349583,69.6995996476593,4.292351524058802,False,True,0.0852682080153584,-0.26816183305847263,False,-0.26816183305847263,False,-0.26816183305847263,False,2.2357099462700685,2,True,0.6666666666666666,5,True,-1.0000000000000004,8,False,-0.9999999999999994,8,False,0.11892797,False,2025,True,True,True,False,False,True,True
3MINDIA,midcap,2017-05-26,12087.727468194154,0.353573055963462,48,7,0.11656309264547637,5.717897533918313,2,True,False,False,True,2.9743871236199766,5.352389640473633,3.6097331737092215,False,True,0.13629212938450386,-0.021208555153170994,True,-0.003768953614511794,False,-0.021208555153170994,True,2.4445109848495146,3,True,2.361154109409215,14,True,0.6666666666666666,22,True,0.6288369258778178,60,False,0.3237598,False,2017,True,False,True,True,True,True,True
AIAENG,midcap,2016-08-29,1134.4180892788734,0.45396881589669746,60,6,0.12287436348422276,2.762691276195479,2,True,False,False,True,1.7160139819688796,5.005458541430969,4.157558679832478,False,True,0.13371472736944967,-0.04089571850339635,True,-0.04089571850339635,False,-0.04089571850339635,False,2.364580457487891,3,True,2.0958391350375143,6,True,0.6666666666666666,50,True,1.3356850118264159,60,False,0.5764075,True,2016,True,False,True,True,True,True,True
AIAENG,midcap,2020-09-29,1737.017618088026,0.2538045643476874,58,6,0.15172581994455192,1.2495933677270592,1,True,True,True,True,1.4770511940751185,9.526424727190552,4.360414375454301,False,True,0.09983659068730022,-0.08675790560995289,False,-0.08675790560995289,False,-0.08675790560995289,False,-1.0,0,False,0.6666666666666666,4,True,-0.9999999999999996,23,False,-1.0000000000000002,23,False,0.39597315,True,2020,True,False,True,False,True,True,True
APLAPOLLO,midcap,2017-05-19,136.86390238693798,0.4512319187454279,42,9,0.10461807549425317,0.80803272278058,2,True,True,False,True,1.2423105582849199,2.0869559904083252,3.841298703519632,False,True,0.22242881750484766,-0.07996770845070655,True,-0.07996770845070655,True,-0.07996770845070655,False,-1.0,0,False,-1.0,0,False,-1.0,0,False,1.2593765811861601,60,True,0.33159268,False,2017,True,False,True,False,True,True,True
APLAPOLLO,midcap,2019-12-12,159.7930939461996,0.30315043933101893,57,7,0.06462855891415176,1.5567610187689995,2,True,False,False,True,1.5839292435077155,3.2067689085502624,2.8616791319531054,False,True,0.36975312335221444,-0.024691337756990284,True,-0.024691337756990284,True,-0.024691337756990284,False,0.6666666666666666,4,True,3.333333333333333,12,True,2.31275765095597,16,True,2.5406380139675604,35,True,0.30227274,False,2019,True,False,False,True,True,True,True
APLAPOLLO,midcap,2023-07-03,1348.0350558917985,0.3352435853218836,23,6,0.0715309218979161,1.6264798703716223,4,True,False,False,True,1.3566942996666687,85.53316047652405,3.3657713204897943,False,True,0.2555066459150437,-0.044787032422334505,True,-0.044787032422334505,True,-0.044787032422334505,False,-1.0,0,False,-0.9999999999999986,1,False,2.1649543454912754,25,True,2.3564213033684522,56,True,0.7169811,True,2023,True,True,False,True,False,True,True
AUBANK,midcap,2018-05-21,347.5948457428627,0.26796467207656116,55,6,0.06162752506823055,0.9497425225662206,2,True,True,False,True,1.4720705792285682,12.969261658131408,4.140964676589885,False,True,0.04907137713780085,-0.12564270569316527,False,-0.12564270569316527,False,-0.12564270569316527,False,-0.9999999999999966,3,False,-1.000000000000002,6,False,-0.9999999999999997,27,False,-1.0714263639185801,34,False,0.14146341,False,2018,True,False,True,False,True,True,True
