fiscal_year,units,yoy_pct,source
FY2001-02,4203725,,SIAM domestic sales (via CEIC)
FY2002-03,4812126,14.5,SIAM domestic sales trend
FY2003-04,5364249,11.5,SIAM domestic sales trend
FY2004-05,6209765,15.8,SIAM domestic sales trend
FY2005-06,7052391,13.6,SIAM domestic sales trend
FY2006-07,7872334,11.6,SIAM domestic sales trend
FY2007-08,7249278,-7.9,SIAM domestic sales trend
FY2008-09,7437619,2.6,SIAM statistics (siam.in)
FY2009-10,9370951,26.0,SIAM statistics (siam.in)
FY2010-11,11768910,25.6,SIAM statistics (siam.in)
FY2011-12,13409150,13.9,SIAM statistics (siam.in)
FY2012-13,13797185,2.9,SIAM statistics (siam.in)
FY2013-14,14805481,7.3,SIAM statistics (siam.in)
FY2014-15,15975561,7.9,SIAM annual press release
FY2015-16,16455851,3.0,SIAM annual press release
FY2016-17,17589738,6.9,SIAM annual press release
FY2017-18,20200117,14.8,SIAM annual press release
FY2018-19,21181390,4.9,SIAM annual press release
FY2019-20,17417616,-17.8,SIAM annual press release
FY2020-21,15120783,-13.2,SIAM annual press release
FY2021-22,13466412,-10.9,SIAM annual press release
FY2022-23,15862087,17.8,SIAM annual press release
FY2023-24,17974365,13.3,SIAM annual press release
FY2024-25,19607332,9.1,SIAM annual press release
FY2025-26,21705974,10.7,SIAM press release 14-Apr-2026 (pid 605)
