Symbol,n,tgt,sl,avg,tot
THANGAMAYL,6,4,2,8.18,49.06
WSTCSTPAPR,22,7,14,1.87,41.14
AEQUS,4,3,1,9.93,39.73
WELCORP,5,3,2,7.48,37.4
LENSKART,8,3,4,3.82,30.54
MOREPENLAB,10,4,6,3.03,30.3
AVALON,6,3,3,4.94,29.63
RAIN,4,2,2,6.0,24.0
MARKSANS,4,2,2,5.38,21.52
RPTECH,10,3,6,1.72,17.23
PVRINOX,14,3,9,1.02,14.3
SANDHAR,10,3,7,1.19,11.88
SUZLON,2,1,1,5.52,11.05
REDINGTON,2,1,1,5.24,10.47
VARROC,10,3,7,0.94,9.4
ACMESOLAR,7,2,5,1.16,8.12
ATGL,3,1,1,2.27,6.82
MSTCLTD,8,2,6,0.61,4.87
HYUNDAI,6,1,3,0.3,1.78
CONFIPET,5,1,4,-0.11,-0.57
HFCL,5,1,4,-0.2,-1.0
HSCL,5,1,4,-0.25,-1.23
ATHERENERG,1,0,1,-5.11,-5.11
GENUSPOWER,4,0,3,-1.33,-5.31
VOGL,2,0,2,-3.99,-7.99
KEC,2,0,2,-4.3,-8.6
EMSLIMITED,7,1,6,-1.35,-9.47
MEESHO,10,1,7,-1.08,-10.8
RATNAVEER,7,1,6,-1.6,-11.2
HCC,3,0,3,-4.15,-12.45
VINCOFE,9,1,7,-1.41,-12.67
JSWINFRA,5,0,4,-2.58,-12.88
SKIPPER,3,0,3,-4.36,-13.08
INOXINDIA,9,1,7,-1.66,-14.95
NRBBEARING,12,2,10,-1.3,-15.58
LLOYDSENT,7,1,6,-2.23,-15.63
EXICOM,4,0,4,-4.15,-16.6
ADANIPOWER,4,0,4,-4.26,-17.02
SAMMAANCAP,4,0,4,-4.32,-17.27
PINELABS,5,0,4,-3.61,-18.07
CDSL,10,1,8,-1.84,-18.43
DELHIVERY,8,1,7,-2.49,-19.9
ADANIGREEN,6,0,5,-3.38,-20.26
ADANIPORTS,9,1,8,-2.39,-21.48
LLOYDSENGG,5,0,4,-4.3,-21.49
SAREGAMA,6,0,5,-4.63,-27.81
SKYGOLD,7,0,7,-5.4,-37.81
SHILCTECH,8,0,7,-5.56,-44.51
ONIDA,25,2,23,-3.68,-92.11
