Symbol,Signal_Date,Entry_Price,Signal_Open,Signal_Low,Up_Move_Pct,Stop_Price,Target_Price,Risk_Pct,Outcome,Exit_Date,Exit_Price,Return_Pct,Hold_Days,Same_Bar_Both
ACMESOLAR,2025-11-14,250.6,249.1,249.1,0.6021678040947442,241.62699999999998,288.19,-3.5806065442936963,SL,2025-11-19,241.62699999999998,-3.5806065442936963,3,False
ACMESOLAR,2025-12-04,219.24,216.5,216.5,1.2655889145496646,210.005,252.126,-4.212278781244305,SL,2025-12-08,210.005,-4.212278781244305,2,False
ACMESOLAR,2026-03-25,254.12,251.0,251.0,1.2430278884462131,243.47,292.238,-4.190933417283171,TARGET,2026-04-17,292.238,14.999999999999991,13,False
ACMESOLAR,2026-05-13,282.55,280.0,280.0,0.910714285714298,271.59999999999997,324.9325,-3.875420279596542,SL,2026-05-18,271.59999999999997,-3.875420279596542,3,False
ACMESOLAR,2026-05-22,290.2,282.95,282.95,2.5622901572716072,274.4615,333.72999999999996,-5.4233287388008256,TARGET,2026-06-02,333.72999999999996,14.999999999999991,6,False
ACMESOLAR,2026-07-24,365.85,361.4,361.4,1.231322634200338,350.558,420.7275,-4.179855131884658,SL,2026-07-28,350.558,-4.179855131884658,2,False
ADANIGREEN,2025-08-25,964.1,958.35,958.35,0.5999895653988618,929.5995,1108.715,-3.578518825847943,SL,2025-08-26,929.5995,-3.578518825847943,1,False
ADANIGREEN,2025-10-10,1064.3,1048.1,1048.1,1.5456540406449726,1016.6569999999999,1223.945,-4.476463403175801,SL,2025-10-27,1016.6569999999999,-4.476463403175801,10,False
ADANIGREEN,2025-11-12,1070.8,1050.2,1050.2,1.9615311369262978,1018.694,1231.4199999999998,-4.866081434441538,SL,2025-11-24,1018.694,-4.866081434441538,8,False
ADANIGREEN,2025-12-12,1040.2,1024.0,1024.0,1.5820312500000044,993.28,1196.23,-4.510671024802926,SL,2026-01-08,993.28,-4.510671024802926,18,False
ADANIGREEN,2026-03-25,853.8,843.0,843.0,1.2811387900355742,817.7099999999999,981.8699999999999,-4.226985242445547,SL,2026-03-30,817.7099999999999,-4.226985242445547,2,False
ADANIGREEN,2026-08-20,1301.8,1294.0,1294.0,0.602782071097363,1255.18,1497.07,-3.5811952680903314,OPEN,2026-08-21,1320.0,1.3980642187739978,1,False
ADANIPORTS,2025-09-08,1348.3,1321.9,1321.9,1.9971253498751729,1282.2430000000002,1550.5449999999998,-4.899280575539555,TARGET,2026-02-04,1550.5449999999998,14.999999999999991,102,False
ADANIPORTS,2025-10-15,1450.7,1430.0,1430.0,1.4475524475524582,1387.1,1668.3049999999998,-4.384090439098376,SL,2026-01-20,1387.1,-4.384090439098376,65,False
ADANIPORTS,2025-11-26,1506.2,1484.3,1484.3,1.4754429697500626,1439.771,1732.1299999999999,-4.410370468729264,SL,2026-01-09,1439.771,-4.410370468729264,31,False
ADANIPORTS,2025-12-22,1508.7,1497.5,1497.5,0.747913188647753,1452.575,1735.0049999999999,-3.720090143832433,SL,2025-12-29,1452.575,-3.720090143832433,4,False
ADANIPORTS,2026-03-09,1421.3,1405.0,1405.0,1.160142348754456,1362.85,1634.495,-4.112432280306766,SL,2026-03-13,1362.85,-4.112432280306766,4,False
ADANIPORTS,2026-03-18,1401.9,1367.1,1367.1,2.5455343427693844,1326.0869999999998,1612.185,-5.407875026749432,SL,2026-03-23,1326.0869999999998,-5.407875026749432,3,False
ADANIPORTS,2026-07-09,1800.1,1795.3,1795.3,0.26736478582967127,1741.4409999999998,2070.115,-3.258652297094611,SL,2026-07-29,1741.4409999999998,-3.258652297094611,14,False
ADANIPORTS,2026-07-10,1828.1,1800.1,1800.1,1.5554691406032939,1746.0969999999998,2102.3149999999996,-4.485695530879063,SL,2026-07-29,1746.0969999999998,-4.485695530879063,13,False
ADANIPOWER,2025-09-25,149.0,145.5,145.5,2.405498281786933,141.135,171.35,-5.278523489932896,TARGET,2025-10-20,171.35,14.999999999999991,16,False
ADANIPOWER,2025-12-12,144.49,141.39,141.39,2.192517151142237,137.14829999999998,166.1635,-5.081112879784088,SL,2026-01-20,137.14829999999998,-5.081112879784088,25,False
ADANIPOWER,2025-12-22,143.25,141.77,141.77,1.043944417013476,137.5169,164.73749999999998,-4.00216404886562,SL,2026-01-20,137.5169,-4.00216404886562,19,False
ADANIPOWER,2026-04-27,218.05,214.6,214.6,1.6076421248835127,208.16199999999998,250.7575,-4.534739738592086,SL,2026-05-12,208.16199999999998,-4.534739738592086,10,False
ADANIPOWER,2026-08-07,209.0,208.13,208.13,0.41800797578437354,201.8861,240.35,-3.4037799043062256,SL,2026-08-17,201.8861,-3.4037799043062256,6,False
AEQUS,2026-01-08,143.36,140.0,140.0,2.400000000000002,135.79999999999998,164.864,-5.273437500000022,SL,2026-01-16,135.79999999999998,-5.273437500000022,5,False
AEQUS,2026-04-02,123.56,120.03,120.03,2.940931433808225,116.42909999999999,142.094,-5.7712042732275926,TARGET,2026-04-10,142.094,14.999999999999991,5,False
AEQUS,2026-06-11,176.15,173.6,173.6,1.4688940092165925,168.392,202.5725,-4.40420096508658,TARGET,2026-06-15,202.5725,14.999999999999991,2,False
