Symbol,NSE_Ticker,Traded_As,Series,Date,Prev_Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover_Lacs,No_of_Trades,Delivery_Qty,Delivery_Pct
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-21,290.5,295.0,296.7,285.95,287.15,287.4,291.57,1010459,2946.22,18084,396787.0,39.27
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-22,287.4,287.0,293.5,284.2,290.1,290.8,290.0,793175,2300.22,16407,358399.0,45.19
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-25,290.8,290.0,309.85,288.95,304.0,303.3,303.63,7371933,22383.41,96084,2179516.0,29.57
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-26,303.3,304.5,308.0,284.25,285.5,285.7,290.74,4011283,11662.27,70693,1472168.0,36.7
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-28,285.7,283.05,291.85,278.45,286.95,286.3,286.97,1739894,4992.89,32581,491831.0,28.27
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-08-29,286.3,289.15,291.4,282.0,284.15,284.6,286.67,937556,2687.68,19797,353627.0,37.72
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-09-01,284.6,284.9,288.75,279.55,282.0,282.15,282.77,891563,2521.08,20598,453212.0,50.83
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-09-02,282.15,283.45,291.0,281.5,286.6,287.2,287.6,1169084,3362.31,24251,396685.0,33.93
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-09-03,287.2,288.25,303.9,288.0,298.0,298.55,297.79,2460915,7328.24,43152,807773.0,32.82
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-09-04,298.55,301.45,302.8,292.8,293.9,294.7,297.38,844057,2510.03,18311,316841.0,37.54
ACMESOLAR,NSE:ACMESOLAR,ACMESOLAR,EQ,2025-09-05,294.7,294.9,300.0,291.8,295.6,296.3,295.99,774778,2293.24,14739,293831.0,37.92
